"Encounter Date (Week Starting)","Age Group","Total Encounter"
2023-04-16,"00-04 years","31"
2023-04-23,"00-04 years","35"
2023-04-30,"00-04 years","29"
2023-05-07,"00-04 years","23"
2023-05-14,"00-04 years","15"
2023-05-21,"00-04 years","18"
2023-05-28,"00-04 years","26"
2023-06-04,"00-04 years","17"
2023-06-11,"00-04 years","18"
2023-06-18,"00-04 years","13"
2023-06-25,"00-04 years","14"
2023-07-02,"00-04 years","13"
2023-07-09,"00-04 years","14"
2023-07-16,"00-04 years","17"
2023-07-23,"00-04 years","13"
2023-07-30,"00-04 years","14"
2023-08-06,"00-04 years","17"
2023-08-13,"00-04 years","24"
2023-08-20,"00-04 years","21"
2023-08-27,"00-04 years","24"
2023-09-03,"00-04 years","37"
2023-09-10,"00-04 years","32"
2023-09-17,"00-04 years","25"
2023-09-24,"00-04 years","28"
2023-10-01,"00-04 years","35"
2023-04-16,"05-11 years","10"
2023-04-23,"05-11 years","7"
2023-04-30,"05-11 years","9"
2023-05-07,"05-11 years","8"
2023-05-14,"05-11 years","7"
2023-05-21,"05-11 years","<5"
2023-05-28,"05-11 years","7"
2023-06-04,"05-11 years","9"
2023-06-11,"05-11 years","6"
2023-06-18,"05-11 years","<5"
2023-06-25,"05-11 years","<5"
2023-07-02,"05-11 years","<5"
2023-07-09,"05-11 years","<5"
2023-07-16,"05-11 years","<5"
2023-07-23,"05-11 years","<5"
2023-07-30,"05-11 years","<5"
2023-08-06,"05-11 years","<5"
2023-08-20,"05-11 years","6"
2023-08-27,"05-11 years","6"
2023-09-03,"05-11 years","7"
2023-09-10,"05-11 years","7"
2023-09-17,"05-11 years","<5"
2023-09-24,"05-11 years","8"
2023-10-01,"05-11 years","<5"
2023-04-16,"12-17 years","<5"
2023-04-23,"12-17 years","<5"
2023-04-30,"12-17 years","7"
2023-05-07,"12-17 years","<5"
2023-05-14,"12-17 years","6"
2023-05-21,"12-17 years","<5"
2023-05-28,"12-17 years","<5"
2023-06-04,"12-17 years","<5"
2023-06-11,"12-17 years","<5"
2023-06-18,"12-17 years","<5"
2023-06-25,"12-17 years","<5"
2023-07-02,"12-17 years","<5"
2023-07-16,"12-17 years","<5"
2023-07-30,"12-17 years","<5"
2023-08-13,"12-17 years","5"
2023-08-20,"12-17 years","6"
2023-08-27,"12-17 years","9"
2023-09-03,"12-17 years","<5"
2023-09-10,"12-17 years","8"
2023-09-17,"12-17 years","<5"
2023-09-24,"12-17 years","<5"
2023-10-01,"12-17 years","<5"
2023-04-16,"18-29 years","9"
2023-04-23,"18-29 years","19"
2023-04-30,"18-29 years","15"
2023-05-07,"18-29 years","9"
2023-05-14,"18-29 years","7"
2023-05-21,"18-29 years","9"
2023-05-28,"18-29 years","17"
2023-06-04,"18-29 years","8"
2023-06-11,"18-29 years","7"
2023-06-18,"18-29 years","7"
2023-06-25,"18-29 years","<5"
2023-07-02,"18-29 years","8"
2023-07-09,"18-29 years","<5"
2023-07-16,"18-29 years","7"
2023-07-23,"18-29 years","9"
2023-07-30,"18-29 years","14"
2023-08-06,"18-29 years","5"
2023-08-13,"18-29 years","14"
